iri	kind	section	hierarchy	pcf	label	parents	wiring	definition
ex:SalesBudget	ice	3			Sales Budget	cco:ont00000965		A Directive Information Content Entity that prescribes the planned revenue, costs, and resource outlay for the sales function.
ex:SalesForecast	ice	3			Sales Forecast	cco:ont00000626;cco:ont00000853		A Predictive Information Content Entity that describes the estimated future demand for an organization's portfolio of offerings.
ex:SalesGoal	ice	3			Sales Goal and Target	cco:ont00000965		A Directive Information Content Entity that prescribes quantitative and qualitative sales targets and the measures used to track them.
ex:SalesLead	ice	3			Sales Lead	cco:ont00000853		A Descriptive Information Content Entity that describes a qualified prospective customer and their potential as a sales opportunity.
ex:SalesOrder	ice	3			Sales Order	cco:ont00000965		A Directive Information Content Entity that prescribes a customer's order of products or services to be fulfilled by the organization.
ex:SalesOrderData	ice	3			Sales Order Data	cco:ont00000853		A Descriptive Information Content Entity that describes current and historical sales orders, including product, quantity, customer, price, and terms.
ex:SalesPlan	ice	3			Sales Plan	cco:ont00000965		A Directive Information Content Entity that prescribes strategic and tactical sales actions, objectives, and resource use for a customer or account.
ex:SalesProposal	ice	3			Sales Proposal/Bid/Quote	cco:ont00000965		A Directive Information Content Entity that prescribes an organization's proposed solution, pricing, and schedule in response to a customer requirement.
ex:SalesReport	ice	2			Sales Report	cco:ont00000853		A Descriptive Information Content Entity that describes sales volumes, revenue, and market response for a product or service.
ex:SalesTrainingMaterial	ice	3			Sales Training Material	cco:ont00000853		A Descriptive Information Content Entity that describes an organization's products and services for the instruction of sales partners and personnel.
ex:SalesTrendAnalysis	ice	3			Sales Trend Analysis	cco:ont00000853		A Descriptive Information Content Entity that describes patterns and trends discerned in sales order data.
ex:SampleSignificanceAssessment	ice	13			Sample Significance Assessment	cco:ont00000853		A Descriptive Information Content Entity that describes whether a test sample is representative of the larger output and meets acceptance requirements.
ex:SamplingPlan	ice	13			Sampling Plan	cco:ont00000965		A Directive Information Content Entity that prescribes which parameters to measure, sample sizes, the sampling scheme, and the roles for taking samples.
ex:SanctionedPartyList	ice	9			Sanctioned Party List	cco:ont00000853		A Descriptive Information Content Entity that describes the parties approved or prohibited for engaging in international trade, together with their granted lega
ex:SanctionedPartyScreeningResult	ice	9			Sanctioned Party Screening Result	cco:ont00000853		A Descriptive Information Content Entity that describes a judgement of whether the parties to a prospective transaction are clear to engage in international tra
ex:ServiceComponentSelectionCriteria	ice	8			Service Component Selection Criteria	cco:ont00000965		A Directive Information Content Entity that prescribes the standards by which IT service components are selected.
ex:ServiceDeliveryCompletionConfirmation	ice	5			Service Delivery Completion Confirmation	cco:ont00000853		A Descriptive Information Content Entity that describes a confirmed judgement that all internal and external aspects of a service delivery have been completed.
ex:ServiceDeliveryContract	ice	5			Service Delivery Contract	cco:ont00000965		A Directive Information Content Entity that prescribes the agreed terms and obligations governing the delivery of a service to a customer.
ex:ServiceDeliveryGoal	ice	5			Service Delivery Goal	cco:ont00000965		A Directive Information Content Entity that prescribes a target outcome an organization's service delivery is intended to achieve for its customers.
ex:ServiceDeliveryPlan	ice	5			Service Delivery Plan	cco:ont00000965		A Directive Information Content Entity that prescribes the plan of action for rendering a service-delivery solution to a customer.
ex:ServiceDeliveryProcessSpecification	ice	5			Service Delivery Process Specification	cco:ont00000965		A Directive Information Content Entity that prescribes the policies and procedures by which a service is delivered within an organization's operating parameters
ex:ServiceDeliveryRecord	ice	5			Service Delivery Record	cco:ont00000853		A Descriptive Information Content Entity that records facts about a delivered service for archival and system-of-record purposes.
ex:ServiceDeliveryReview	ice	5			Service Delivery Review	cco:ont00000853		A Descriptive Information Content Entity that describes an end-to-end evaluation of the success of a completed service-delivery engagement.
ex:ServiceDeliverySatisfactionAssessment	ice	5			Service Delivery Satisfaction Assessment	cco:ont00000853		A Descriptive Information Content Entity that describes a judgement, derived from customer feedback, of how satisfactorily a service was delivered.
ex:ServiceDeliveryStrategy	ice	5			Service Delivery Strategy	cco:ont00000965		A Directive Information Content Entity that prescribes the goals, policies, processes, and procedures by which an organization intends to deliver services.
ex:ServiceKnowledgeBase	ice	5			Service Knowledge Base	cco:ont00000853		A Descriptive Information Content Entity that describes accumulated lessons and information harvested from completed service-delivery engagements.
ex:ServiceLevelAgreement	ice	6			Service Level Agreement	cco:ont00000965		A Directive Information Content Entity that prescribes the negotiated service levels, priorities, and responsibilities agreed for a customer segment.
ex:ServiceOrder	ice	6			Service Order	cco:ont00000965		A Directive Information Content Entity that prescribes a short-term agreement between a service provider and a customer for a one-time service and its resource-
ex:ServiceOrderFulfillmentSchedule	ice	6			Service Order Fulfillment Schedule	cco:ont00000965		A Directive Information Content Entity that prescribes the timing and duration of the services required to fulfill service orders.
ex:ServiceOrderFulfillmentStatus	ice	6			Service Order Fulfillment Status	cco:ont00000853		A Descriptive Information Content Entity that reports the current fulfillment progress of one or more service orders, including fully, partially, and unfulfille
ex:ServiceQualityAssessment	ice	6			Service Quality Assessment	cco:ont00000853		A Descriptive Information Content Entity that describes a judgement of the quality of service delivered to customers, including successes, failures, and incorpo
ex:ServiceRequest	ice	6			Service Request	cco:ont00000853		A Descriptive Information Content Entity that records an individual customer's specific service requirements.
ex:ShareholderCommunication	ice	12			Shareholder Communication	cco:ont00000853		A Descriptive Information Content Entity that describes information conveyed to shareholders, such as a shareholders' letter, earnings-call statement, or meetin
ex:SiteStatusReport	ice	10			Site Status Report	cco:ont00000853		A Descriptive Information Content Entity that describes the status of an abandoned or remediated site for the duration required by regulators.
ex:SkillRequirementData	ice	7			Skill Requirement Data	cco:ont00000853		A Descriptive Information Content Entity that describes the skills, knowledge, and competencies required by an organization or a position.
ex:SkillsCapabilityTestResult	ice	5			Skills and Capability Test Result	cco:ont00000853		A Descriptive Information Content Entity that describes the outcome of administering a skill or capability test to service delivery personnel following training
ex:SkillsGapAnalysis	ice	7			Skills Gap Analysis	cco:ont00000853		A Descriptive Information Content Entity that describes the difference between the skills required by an organization and those currently available in its workf
ex:SkillsTaxonomy	ice	5			Skills Taxonomy	cco:ont00000853		A Descriptive Information Content Entity that classifies and organizes the skills required to perform an organization's services.
ex:SocioculturalData	ice	1			Sociocultural Data	cco:ont00000853		A Descriptive Information Content Entity that describes societal composition, distribution, and value systems.
ex:SocioculturalShiftAnalysis	ice	1			Sociocultural Shift Analysis	cco:ont00000853		A Descriptive Information Content Entity that describes shifts in societal makeup and cultural composition.
ex:SolutionBuildRecord	ice	5			Solution Build Record	cco:ont00000853		A Descriptive Information Content Entity that records that a service-delivery solution has been constructed or purchased and documents how it was realized.
ex:SolutionChangeSpecification	ice	5			Solution Change Specification	cco:ont00000965		A Directive Information Content Entity that prescribes corrections to a drafted solution in response to identified issues.
ex:SolutionSpecification	ice	5			Solution Specification	cco:ont00000965		A Directive Information Content Entity that prescribes the service-delivery solution to be built, bought, or deployed to meet a customer's needs.
ex:SolutionValidationResult	ice	5			Solution Validation Result	cco:ont00000853		A Descriptive Information Content Entity that describes a judgement of whether a proposed service-delivery solution is feasible and meets customer needs.
ex:SourcingOpportunityAssessment	ice	4			Sourcing Opportunity Assessment	cco:ont00000853		A Descriptive Information Content Entity that describes discerned opportunities to improve sourcing efficiency, value, or coverage.
ex:SpendProfileAnalysis	ice	4			Spend Profile Analysis	cco:ont00000853		A Descriptive Information Content Entity that describes an organization's procurement spend, classified and analyzed to reduce cost and monitor compliance.
ex:StaffingPlan	ice	7			Staffing Plan	cco:ont00000965		A Directive Information Content Entity that prescribes how many people with which skills are to be hired to meet an organization's requirements.
ex:StakeholderAlignmentPlan	ice	1			Stakeholder Alignment Plan	cco:ont00000965;cco:ont00000974		A Plan that prescribes how stakeholders are to be oriented and positioned in support of an organization's strategic vision.
ex:StakeholderAssessment	ice	13			Stakeholder Assessment	cco:ont00000853		A Descriptive Information Content Entity that describes the internal and external stakeholders affected by a change and the degree of influence the change has o
ex:StakeholderNeedsStatement	ice	13			Stakeholder Needs Statement	cco:ont00000853		A Descriptive Information Content Entity that describes the needs and requirements gathered from stakeholders prior to conducting analytics.
ex:StakeholderRequirements	ice	7			Stakeholder Requirements	cco:ont00000853		A Descriptive Information Content Entity that describes the requirements expressed by enterprise stakeholders, used as input to analytics and planning.
ex:StandardOperatingProcedure	ice	4			Standard Operating Procedure	cco:ont00000965		A Directive Information Content Entity that prescribes step-by-step methods to be followed routinely for the performance of designated operations.
ex:StorageRequirementAssessment	ice	4			Storage Requirement Assessment	cco:ont00000853		A Descriptive Information Content Entity that describes an evaluation of the constraints, needs, parameters, and conditions for the physical storage and retriev
ex:StrategicAlignmentAssessment	ice	2			Strategic Alignment Assessment	cco:ont00000853		A Descriptive Information Content Entity that describes a judgement of whether a product/service concept aligns with the organization's business strategy.
ex:StrategicGoals	ice	7			Strategic Goals	cco:ont00000853		A Descriptive Information Content Entity that describes the strategic goals of an organization against which human-resource requirements are to be aligned.
ex:StrategicHRNeedsAssessment	ice	7			Strategic HR Needs Assessment	cco:ont00000853		A Descriptive Information Content Entity that describes the current and future human-resource needs of an organization.
ex:StrategicInitiativeEvaluation	ice	1			Strategic Initiative Evaluation	cco:ont00000853		A Descriptive Information Content Entity that describes the applicability and feasibility of a strategic initiative relative to an organization's vision and con
ex:StrategicInitiativeSpecification	ice	1			Strategic Initiative Specification	cco:ont00000965		A Directive Information Content Entity that prescribes a discretionary, time-bound strategic project lying beyond an organization's routine operations.
ex:StrategicOption	ice	1			Strategic Option	cco:ont00000965		A Directive Information Content Entity that prescribes one candidate course of strategic action available to an organization.
ex:StrategicOptionAnalysis	ice	1			Strategic Option Analysis	cco:ont00000853		A Descriptive Information Content Entity that describes the assessed impact and consequences of one or more candidate strategic options.
ex:StrategicPriority	ice	1			Strategic Priority	cco:ont00000965;cco:ont00000476		An Objective that prescribes a ranked organizational direction used to guide resource-allocation decisions.
ex:StrategicVision	ice	1			Strategic Vision	cco:ont00000965		A Directive Information Content Entity that prescribes an organization's intended long-term direction and aspirational future state.
ex:StrategyAlignmentPlan	ice	1			Strategy Alignment Plan	cco:ont00000965;cco:ont00000974		A Plan that prescribes how the plans and methods of an organization's individual units, departments, and processes are to be calibrated to the adopted enterpris
ex:SubstitutionBusinessCase	ice	1			Substitution Business Case	cco:ont00000853		A Descriptive Information Content Entity that describes an argument for or against a course of action in light of substitute products or services.
ex:SuccessionPlan	ice	7			Succession Plan	cco:ont00000965		A Directive Information Content Entity that prescribes how key positions within an organization are to be continued, including identified successors and their d
ex:SuggestionRegister	ice	7			Employee Suggestion Register	cco:ont00000853		A Descriptive Information Content Entity that records and tracks the suggestions and ideas collected from employees through an organization's suggestion program
ex:SupplierCapacityProfile	ice	4			Supplier Capacity Profile	cco:ont00000853		A Descriptive Information Content Entity that describes the average, peak, and baseline supply capacities of vendors and suppliers.
ex:SupplierCertification	ice	4			Supplier Certification	cco:ont00000965		A Directive Information Content Entity that confers and prescribes the status of an entity as an official approved supplier.
ex:SupplierContract	ice	4			Supplier Contract	cco:ont00000965		A Directive Information Content Entity that prescribes the mutually binding obligations between an organization and a supplier, including promised delivery, dat
ex:SupplierPerformanceReport	ice	4			Supplier Performance Report	cco:ont00000853		A Descriptive Information Content Entity that describes the delivery timing and product quality achieved by suppliers.
ex:SupplierQuote	ice	4			Supplier Quote	cco:ont00000853		A Descriptive Information Content Entity in which a supplier states its proposed price and terms for specified products or services.
ex:SupplierRecoveryClaim	ice	6			Supplier Recovery Claim	cco:ont00000853		A Descriptive Information Content Entity that asserts an organization's right to recover from a supplier the costs of a settled warranty claim.
ex:SupplierSelectionDecision	ice	4			Supplier Selection Decision	cco:ont00000965		A Directive Information Content Entity that prescribes which supplier or suppliers are chosen, on the basis of material quality, delivery schedules, and cost.
ex:SupplierValidationAssessment	ice	4			Supplier Validation Assessment	cco:ont00000853		A Descriptive Information Content Entity that describes a judgement of whether a supply source meets the requirements to be an approved supplier.
ex:SupplierWarrantyResponsibilityAgreement	ice	6			Supplier Warranty Responsibility Agreement	cco:ont00000965		A Directive Information Content Entity that prescribes the warranty obligations apportioned between an organization and its suppliers or dealers.
ex:SupplyChainEffectivenessReview	ice	2			Supply Chain Effectiveness Review	cco:ont00000853		A Descriptive Information Content Entity that describes a judgement of whether a supply chain and distribution network meets the demands of its stakeholders.
ex:SupplyChainMethodologyAnalysis	ice	2			Supply Chain Methodology Analysis	cco:ont00000853		A Descriptive Information Content Entity that describes a data-analytics conclusion correlating gaps and efficiencies across an organization's existing supply-c
ex:SupplyChainPerformanceData	ice	2			Supply Chain Performance Data	cco:ont00000853		A Descriptive Information Content Entity that describes the performance and effectiveness of a supply chain and distribution network.
ex:SupplyConstraintAnalysis	ice	5			Supply Constraint Analysis	cco:ont00000853		A Descriptive Information Content Entity that describes the limitations imposed on an organization's service-delivery network and supply.
ex:SupplyCostEstimate	ice	4			Supply Cost Estimate	cco:ont00000853		A Descriptive Information Content Entity that describes the estimated overall cost of supplying products to market, including distribution and logistics costs.
ex:SupportModelSpecification	ice	2			Post-Launch Support Model Specification	cco:ont00000965		A Directive Information Content Entity that prescribes service-level agreements and service-level key performance indicators for post-launch support.
ex:SustainabilityGoalSpecification	ice	13			Sustainability Goal Specification	cco:ont00000965		A Directive Information Content Entity that prescribes an Organization's measurable sustainability goals and qualitative and quantitative targets.
ex:SustainabilityMeasureSpecification	ice	13			Sustainability Measure Specification	cco:ont00000965		A Directive Information Content Entity that prescribes organization-wide sustainability measures, including data-collection strategies, calculations, analytics,
ex:SustainabilityPerformanceMeasurement	ice	13			Sustainability Performance Measurement	cco:ont00000853		A Descriptive Information Content Entity that describes collected and validated sustainability performance data appraised against requirements and targets, incl
ex:SustainabilityPlan	ice	13			Sustainability Plan	cco:ont00000965		A Directive Information Content Entity that prescribes the sustainability actions for an Organization, its functional units, and support services, aligned to re
ex:SustainabilityPolicy	ice	13			Sustainability Policy	cco:ont00000965		A Directive Information Content Entity that prescribes the written procedures and supporting tools by which an Organization will meet its sustainability require
ex:SustainabilityRequirementSpecification	ice	13			Sustainability Requirement Specification	cco:ont00000965		A Directive Information Content Entity that prescribes the disclosure, governance, functional, and performance requirements an Organization must satisfy for sus
ex:SustainabilityStatement	ice	13			Sustainability Statement	cco:ont00000853		A Descriptive Information Content Entity that describes an Organization's sustainability performance prepared for reporting to its audiences.
ex:SystemSecurityRequirement	ice	9			System Security Requirement	cco:ont00000965		A Directive Information Content Entity that prescribes requirements for controlling access, information reliability, accountability, and availability within an 
ex:SystemsAndTechnologyAnalysis	ice	1			Systems and Technology Analysis	cco:ont00000853		A Descriptive Information Content Entity that describes the capabilities of technology and process-automation systems deployed within an organization.
ex:TargetSegmentDefinition	ice	3			Target Segment Definition	cco:ont00000965		A Directive Information Content Entity that prescribes which customer segments the organization will target.
ex:TaxData	ice	9			Tax Data	cco:ont00000853		A Descriptive Information Content Entity that describes income, deductions, and liabilities relevant to an Organization's taxation.
ex:TaxInquiryResponse	ice	9			Tax Inquiry Response	cco:ont00000853		A Descriptive Information Content Entity that describes the organization's answer to a tax query raised by a regulatory or government authority, drawing on hist
ex:TaxReturn	ice	9			Tax Return	cco:ont00000853		A Descriptive Information Content Entity that reports an Organization's or individual's taxable income, deductions, and tax owed to a tax authority.
ex:TaxStrategy	ice	9			Tax Strategy	cco:ont00000965		A Directive Information Content Entity that prescribes how an Organization will manage and minimize its tax liabilities.
ex:TechnicalAssessment	ice	2			Technical Assessment	cco:ont00000853		A Descriptive Information Content Entity that describes a judgement of an organization's technical capacity and know-how to develop a product or service.
ex:TechnologyAssessment	ice	1			Technology Assessment	cco:ont00000853		A Descriptive Information Content Entity that describes a judgement of current, emerging, and disruptive technologies.
ex:TechnologyData	ice	1			Technology Data	cco:ont00000853		A Descriptive Information Content Entity that describes deployed, emerging, and disruptive technologies.
ex:ThirdPartyLogisticsPerformanceReport	ice	4			Third-Party Logistics Performance Report	cco:ont00000853		A Descriptive Information Content Entity that describes the storage and shipping performance of third-party logistics providers.
ex:TimeRecord	ice	9			Employee Time Record	cco:ont00000853		A Descriptive Information Content Entity that describes the working days, hours, billing hours, and leave of an employee over a reporting period.
ex:TraceabilityData	ice	2			Traceability Data	cco:ont00000853		A Descriptive Information Content Entity that describes the genealogy and access history of product/material data accessible only via permitted touch points.
ex:TradeDocumentation	ice	9			Trade Documentation	cco:ont00000853		A Descriptive Information Content Entity that records the description, quantity, transport, indemnity, and inspection details of an international-trade transact
ex:TradeMarketingCalendar	ice	3			Trade Marketing Calendar	cco:ont00000965		A Directive Information Content Entity that prescribes the timing of promotional, category-management, and trade-marketing events combined into a unified timeta
ex:TradePreferenceDocumentation	ice	9			Trade Preference Documentation	cco:ont00000853		A Descriptive Information Content Entity that describes a shipment's eligibility for trade under preference, by which products may be imported or exported at a 
ex:TrainingEffectivenessEvaluation	ice	5			Training Effectiveness Evaluation	cco:ont00000853		A Descriptive Information Content Entity that describes a judgement of how effectively delivered training imparted the targeted skills or behaviours.
ex:TrainingFeedback	ice	5			Training Feedback	cco:ont00000853		A Descriptive Information Content Entity that describes a manager's or trainee's evaluation of training that has been provided, solicited to gauge its effective
ex:TrainingMaterialSpecification	ice	5			Training Material Specification	cco:ont00000853		A Descriptive Information Content Entity that describes the content and structure of the training materials developed to teach service-delivery skills or behavi
ex:TrainingPlan	ice	13			Training Plan	cco:ont00000965		A Directive Information Content Entity that prescribes the actions for equipping personnel with the skills and abilities to fulfill their roles.
ex:TrainingProgramSpecification	ice	7			Training Program Specification	cco:ont00000965		A Directive Information Content Entity that prescribes the content, format, and delivery of an employee or management training program.
ex:TrainingSchedule	ice	5			Training Schedule	cco:ont00000965		A Directive Information Content Entity that prescribes the times, places, and sequence in which training sessions are to be delivered to trainees.
ex:TransactionRecord	ice	9			Transaction Record	cco:ont00000853		A Descriptive Information Content Entity that registers an individual financial transaction together with its amount, date, and parties.
ex:TreasuryGovernanceCharter	ice	9			Treasury Governance Charter	cco:ont00000965		A Directive Information Content Entity that prescribes the scope of treasury operations and designates the authoritative body governing investment decisions.
ex:TrialBalance	ice	9			Trial Balance	cco:ont00000853		A Descriptive Information Content Entity that lists the debit and credit balances of all ledger accounts to verify that total debits equal total credits.
ex:TroubleshootingMethodologyReview	ice	2			Troubleshooting Methodology Review	cco:ont00000853		A Descriptive Information Content Entity that records an appraisal of the design and approach for troubleshooting a product.
ex:UnderservedSegmentFinding	ice	3			Under-served and Saturated Segment Finding	cco:ont00000853		A Descriptive Information Content Entity that describes which market segments lack access to (under-served) or already have access to (saturated) an organizatio
ex:UsefulLifeAssessment	ice	10			Useful Life Assessment	cco:ont00000853		A Descriptive Information Content Entity, about an asset, that describes the asset's status against its planned useful life using criteria such as age, maintena
ex:UserExperienceDesignSpecification	ice	2			User Experience Design Specification	cco:ont00000965		A Directive Information Content Entity that prescribes the usability and user-experience characteristics of a product or service offering.
ex:UserTestingPlan	ice	8			User Testing Plan	cco:ont00000965		A Directive Information Content Entity that prescribes the methodologies, resources, and sequence for user testing of an IT deployment.
ex:ValidatedRequirementAssessment	ice	4			Validated Requirement Assessment	cco:ont00000853		A Descriptive Information Content Entity that describes the confirmation, obtained by interacting with the concerned party at a destination, that the stated fin
ex:ValueProposition	ice	3			Customer Value Proposition	cco:ont00000965		A Directive Information Content Entity that prescribes the suite of benefits an organization's offering delivers to a customer and how it is positioned.
ex:ValuePropositionValidation	ice	3			Value Proposition Validation Result	cco:ont00000853		A Descriptive Information Content Entity that records the substantiated desirability and benefits of an offering's value proposition as corroborated against a t
ex:VarianceAnalysis	ice	9			Variance Analysis	cco:ont00000853		A Descriptive Information Content Entity that describes the differences between budgeted or forecasted figures and actual financial results.
ex:VendorMasterFile	ice	9			Vendor Master File	cco:ont00000853		A Descriptive Information Content Entity that records the account particulars of an organization's suppliers, against which accounts-payable entries are matched
ex:WarrantyClaim	ice	6			Warranty Claim	cco:ont00000853		A Descriptive Information Content Entity submitted by an originator that asserts a product fault and requests remedy under the terms of a warranty.
ex:WarrantyClaimCode	ice	6			Warranty Claim Code	cco:ont00000965		A Directive Information Content Entity that prescribes the rules for processing and routing warranty claims, including coverage lists, fault and trouble codes, 
ex:WarrantyClaimDefinition	ice	6			Warranty Claim Definition	cco:ont00000965		A Directive Information Content Entity that prescribes the exact terms and conditions under which specific warranties apply to certain goods or services.
ex:WarrantyClaimValidation	ice	6			Warranty Claim Validation	cco:ont00000853		A Descriptive Information Content Entity that records the judgement of whether a warranty claim falls within the parameters of the applicable warranty.
ex:WarrantyIssueDefinition	ice	6			Warranty Issue Definition	cco:ont00000853		A Descriptive Information Content Entity that describes the issue underlying a warranty claim, established by reference to claim codes and collected evidence.
ex:WarrantyOffering	ice	6			Warranty Offering	cco:ont00000965		A Directive Information Content Entity that specifies the warranties offered to customers for promoted products or services.
ex:WarrantyPerformanceReport	ice	6			Warranty Performance Report	cco:ont00000853		A Descriptive Information Content Entity that describes warranty management metrics and the conclusions drawn from comparing warranties.
ex:WarrantyPolicy	ice	6			Warranty Policy	cco:ont00000965		A Directive Information Content Entity that prescribes the terms and conditions under which an organization will guarantee, repair, or replace its goods or serv
ex:WarrantyRecommendation	ice	2			Warranty Recommendation	cco:ont00000965		A Directive Information Content Entity that prescribes a recommended warranty plan and pricing for a product or service.
ex:WarrantyTransactionReconciliation	ice	6			Warranty Transaction Reconciliation	cco:ont00000853		A Descriptive Information Content Entity that records confirmation that a warranty transaction has been completed and is internally consistent.
ex:WorkAndAssetRecord	ice	10			Work and Asset Record	cco:ont00000853		A Descriptive Information Content Entity, about an asset, that records the construction or maintenance work performed on it, the assets serviced, and any issues
ex:WorkPerformanceReport	ice	10			Work Performance Report	cco:ont00000853		A Descriptive Information Content Entity that describes the observed timeliness, regulatory compliance, and quality of construction or maintenance work.
ex:WorkPlan	ice	10			Work Plan	cco:ont00000965		A Directive Information Content Entity that prescribes the procedures by which productive assets are to be maintained.
ex:WorkProductDeliverable	ice	12			Work Product Deliverable	cco:ont00000853		A Descriptive Information Content Entity that records a deliverable produced by engaged outside counsel and the effort committed to a matter.
ex:WorkProductValidationRecord	ice	12			Work Product Validation Record	cco:ont00000853		A Descriptive Information Content Entity that records the validated work product and verified committed effort of engaged outside counsel, used to confirm the f
ex:WorkRequirementsSpecification	ice	12			Work Requirements Specification	cco:ont00000965		A Directive Information Content Entity that prescribes the tasks and action requirements for engaging outside counsel on a legal problem, or for entering into a
ex:WorkTaskList	ice	10			Work Task List	cco:ont00000965		A Directive Information Content Entity that prescribes the prioritized set of tasks required to complete asset-maintenance work.
ex:WorkforceAnalysis	ice	7			Workforce Analysis	cco:ont00000853		A Descriptive Information Content Entity that describes insights derived from analyzing workforce data in support of organizational requirements.
ex:WorkforceAnalysisMethodology	ice	7			Workforce Analysis Methodology	cco:ont00000965		A Directive Information Content Entity that prescribes the research methodology selected for conducting workforce analytics.
ex:WorkforceData	ice	7			Workforce Data	cco:ont00000853		A Descriptive Information Content Entity that describes the size, composition, capabilities, and characteristics of an organization's workforce.
ex:WorkforceDevelopmentNeedsAlignment	ice	7			Workforce Development Needs Alignment	cco:ont00000853		A Descriptive Information Content Entity that describes the correspondence between individual employee development needs and the development needs of the organi
ex:WorkforcePlan	ice	7			Workforce Plan	cco:ont00000965		A Directive Information Content Entity that prescribes the current and future workforce and skill requirements of an organization or its units.
ex:WorkforceSchedule	ice	6			Workforce Schedule	cco:ont00000965		A Directive Information Content Entity that prescribes the deployment of the customer service work force across operations and time.
ex:WorkforceStrategy	ice	7			Workforce Strategy	cco:ont00000965		A Directive Information Content Entity that prescribes an organization's approach to administering, resourcing, and developing its workforce.
ex:WorkforceStrategyModel	ice	7			Workforce Strategy Model	cco:ont00000965		A Directive Information Content Entity that prescribes an organization's overall approach to maximizing workforce performance by defining workforce goals, objec
ex:WorkforceUtilizationReport	ice	6			Workforce Utilization Report	cco:ont00000853		A Descriptive Information Content Entity that describes the utilization, performance, and quality of the deployed customer service work force.
ex:WorkplaceLayoutPlan	ice	5			Workplace Layout Plan	cco:ont00000965		A Directive Information Content Entity that prescribes the physical layout and infrastructure of a workplace to support service delivery.
ex:ApproveImplementationPlan	other	delivery			Approve implementation plan	cco:ont00000228		A Planned Act in which an authority-bearing agent authorizes passage of an implementation plan beyond its review gate.
ex:ApproveImplementationPlanPermission	other	cap			Approve implementation plan (permission)	cco:ont00000751		Permission to authorize passage of an implementation plan beyond its review gate. RDM/IEE-owned; stubbed here to show the role->permission seam.
ex:AssetPart	other	10			Asset Part	obo:BFO_0000040		A Material Entity that results from dismantling an end-of-life asset and that may follow a disposition such as resale, reuse, recycling, or disposal.
ex:BaselineDemandForecast	other	4			Baseline Demand Forecast	ex:DemandForecast		A Demand Forecast that describes the bedrock anticipated level of market demand, estimated from historical data and market analysis.
ex:BusinessProcess	other	13			Business Process	obo:BFO_0000015		A Process consisting of a structured set of related activities and tasks carried out by the participants of one or more Organizations to achieve a business goal
ex:ConsensusDemandForecast	other	4			Consensus Demand Forecast	ex:DemandForecast		A Demand Forecast that describes an agreed level of anticipated demand reconciled between baseline forecasts and customer-collaboration estimates.
ex:ConstrainedMaterialsPlan	other	4			Constrained Materials Plan	ex:MaterialsPlan		A Materials Plan that prescribes raw-material and inventory provision bounded by the actual supply-chain scenario.
ex:ConstructionResource	other	10			Construction Resource	obo:BFO_0000040		A Material Entity, such as materials, equipment, or labor input, that is acquired and consumed or employed in performing construction work.
ex:ContaminatedMaterial	other	11			Contaminated Material	obo:BFO_0000040		A Material Entity that has been subject to environmental adulteration and that remediation efforts seek to identify and treat so that the affected area becomes 
ex:CorporateCreditCard	other	9			Corporate Credit Card	cco:ont00000995;obo:BFO_0000040		A Material Artifact issued to an Organization or its personnel that is designed to realize the function of authorizing the charging of business expenses to a co
ex:DamagedMaterialEntity	other	11			Damaged Material Entity	obo:BFO_0000040		A Material Entity that has undergone harmful physical, environmental, or social alteration whose causes are studied in order to inform better policies and regul
ex:DefectivePart	other	6			Defective Part	cco:ont00000995		A Material Artifact component that has failed and is requested and received for investigation or root-cause analysis of a warranty claim.
ex:DefectiveProduct	other	6			Defective Product	cco:ont00000995;obo:BFO_0000040		A Material Artifact that fails to realize one or more of its designed functions or qualities and is therefore subject to repair, return, or recall.
ex:DistributionCenter	other	4			Distribution Center	cco:ont00000192;obo:BFO_0000040		A Facility designed for receiving, storing, and dispatching products to downstream destinations in a distribution network.
ex:Facility	other	10			Facility (asset)	cco:ont00000192		A Facility that an organization plans, designs, constructs, modifies, operates, maintains, or disposes of as part of managing its assets.
ex:FinishedProduct	other	4			Finished Product	cco:ont00000995;obo:BFO_0000040		A Material Artifact that has completed production and is ready to be tested, stored, distributed, or delivered to a customer.
ex:HazardousMaterial	other	10			Hazardous Material	obo:BFO_0000040		A Material Entity that poses a health, safety, or environmental hazard and whose handling, shipment, and disposal are subject to legal and regulatory control.
ex:ITAsset	other	8			IT Asset	cco:ont00000995;obo:BFO_0000040		A Material Artifact that is a hardware or software resource owned or used by an organization to store, retrieve, transmit, or manipulate data in support of busi
ex:ITInfrastructureComponent	other	8			IT Infrastructure Component	ex:ITAsset;cco:ont00000117		An IT Asset that is also an Information Processing Artifact, comprising a discrete hardware, software, or network element of an organization's IT infrastructure
ex:ITServiceSolution	other	8			IT Service/Solution	cco:ont00000117		An Information Processing Artifact that is an assembled, deployable information-technology offering (a configured system, application, or service package) made 
ex:InventoryItem	other	4			Inventory Item	cco:ont00000995;obo:BFO_0000040		A Material Artifact held in stock by an organization, such as a raw material, spare, or finished product awaiting use or sale.
ex:MaintenanceResource	other	10			Maintenance Resource	obo:BFO_0000040		A Material Entity, such as a spare part, consumable, tool, or material, that is gathered and consumed or employed in performing asset-maintenance work.
ex:ManageBuildingRenovation	other	10			Manage building renovation	cco:ont00000970;cco:ont00000228		An Act of Artifact Modification that renovates an existing building on site, changing its qualities or functions according to requirements and demands.
